subject_id,class_name,image_id,image_path,roundtrip_image_path,source_group,reference_regime,hardness_axis,conditioning_key,conditioning_prompt,source_dataset,source_license_note
vase,vase,seed_0003,data/cache/off_prior_measurement_v0/generated_controls/vase/easy/seed_0003.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/vase/seed_0003.png,base_generated_control,easy_control,none,class,a photo of a vase,base_generated_control,generated or local project artifact
dog7,dog,seed_0000,data/cache/off_prior_measurement_v0/generated_controls/dog7/easy/seed_0000.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/dog/seed_0000.png,base_generated_control,easy_control,none,class,a photo of a dog,base_generated_control,generated or local project artifact
dog7,dog,seed_0001,data/cache/off_prior_measurement_v0/generated_controls/dog7/easy/seed_0001.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/dog/seed_0001.png,base_generated_control,easy_control,none,class,a photo of a dog,base_generated_control,generated or local project artifact
dog7,dog,seed_0002,data/cache/off_prior_measurement_v0/generated_controls/dog7/easy/seed_0002.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/dog/seed_0002.png,base_generated_control,easy_control,none,class,a photo of a dog,base_generated_control,generated or local project artifact
dog7,dog,seed_0003,data/cache/off_prior_measurement_v0/generated_controls/dog7/easy/seed_0003.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/dog/seed_0003.png,base_generated_control,easy_control,none,class,a photo of a dog,base_generated_control,generated or local project artifact
dog,dog,dog_clean_object_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/dog/dog_clean_object_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/dog/dog_clean_object_00.png,ordinary_real_control,ordinary_clean_object,clean_object,class,a photo of a dog,coco2017_val,COCO 2017 val image 000000029393; license id 4; ordinary dog standing outdoors; raw image cached locally and not committed
dog,dog,dog_matched_closeup_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/dog/dog_matched_closeup_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/dog/dog_matched_closeup_00.png,ordinary_real_control,ordinary_matched_closeup,matched_closeup,class,a photo of a dog,coco2017_val,COCO 2017 val image 000000205834; license id 3; close-up dog near bowl; raw image cached locally and not committed
dog,dog,dog_cluttered_scene_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/dog/dog_cluttered_scene_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/dog/dog_cluttered_scene_00.png,ordinary_real_control,ordinary_cluttered_scene,cluttered_scene,class,a photo of a dog,coco2017_val,COCO 2017 val image 000000446522; license id 4; dog in indoor cluttered scene; raw image cached locally and not committed
dog,dog,dog_background_heavy_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/dog/dog_background_heavy_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/dog/dog_background_heavy_00.png,ordinary_real_control,ordinary_background_heavy,background_heavy,class,a photo of a dog,coco2017_val,COCO 2017 val image 000000520301; license id 3; dog in car-window scene; raw image cached locally and not committed
cat,cat,cat_matched_closeup_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/cat/cat_matched_closeup_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/cat/cat_matched_closeup_00.png,ordinary_real_control,ordinary_matched_closeup,matched_closeup,class,a photo of a cat,coco2017_val,COCO 2017 val image 000000291490; license id 1; close-up cat on bed; raw image cached locally and not committed
cat,cat,cat_clean_object_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/cat/cat_clean_object_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/cat/cat_clean_object_00.png,ordinary_real_control,ordinary_clean_object,clean_object,class,a photo of a cat,coco2017_val,COCO 2017 val image 000000181859; license id 4; cat in bathroom sink; raw image cached locally and not committed
cat,cat,cat_cluttered_scene_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/cat/cat_cluttered_scene_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/cat/cat_cluttered_scene_00.png,ordinary_real_control,ordinary_cluttered_scene,cluttered_scene,class,a photo of a cat,coco2017_val,COCO 2017 val image 000000403817; license id 3; cat beside laptop; raw image cached locally and not committed
cat,cat,cat_background_heavy_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/cat/cat_background_heavy_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/cat/cat_background_heavy_00.png,ordinary_real_control,ordinary_background_heavy,background_heavy,class,a photo of a cat,coco2017_val,COCO 2017 val image 000000269314; license id 4; cat in tree with strong background; raw image cached locally and not committed
backpack,backpack,backpack_matched_context_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/backpack/backpack_matched_context_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/backpack/backpack_matched_context_00.png,ordinary_real_control,ordinary_matched_context,matched_context,class,a photo of a backpack,coco2017_val,COCO 2017 val image 000000545594; license id 1; person wearing backpack; raw image cached locally and not committed
backpack,backpack,backpack_clean_object_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/backpack/backpack_clean_object_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/backpack/backpack_clean_object_00.png,ordinary_real_control,ordinary_clean_object,clean_object,class,a photo of a backpack,coco2017_val,COCO 2017 val image 000000370478; license id 1; backpack and luggage in bedroom; raw image cached locally and not committed
backpack,backpack,backpack_cluttered_scene_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/backpack/backpack_cluttered_scene_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/backpack/backpack_cluttered_scene_00.png,ordinary_real_control,ordinary_cluttered_scene,cluttered_scene,class,a photo of a backpack,coco2017_val,COCO 2017 val image 000000351810; license id 1; pile of bags and luggage; raw image cached locally and not committed
backpack,backpack,backpack_background_heavy_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/backpack/backpack_background_heavy_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/backpack/backpack_background_heavy_00.png,ordinary_real_control,ordinary_background_heavy,background_heavy,class,a photo of a backpack,coco2017_val,COCO 2017 val image 000000472030; license id 3; small backpack in forest scene; raw image cached locally and not committed
vase,vase,vase_clean_object_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/vase/vase_clean_object_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/vase/vase_clean_object_00.png,ordinary_real_control,ordinary_clean_object,clean_object,class,a photo of a vase,coco2017_val,COCO 2017 val image 000000168458; license id 3; glass vase with flowers on table; raw image cached locally and not committed
vase,vase,vase_matched_window_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/vase/vase_matched_window_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/vase/vase_matched_window_00.png,ordinary_real_control,ordinary_matched_window,matched_window,class,a photo of a vase,coco2017_val,COCO 2017 val image 000000512194; license id 2; flower vase near window; raw image cached locally and not committed
vase,vase,vase_cluttered_scene_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/vase/vase_cluttered_scene_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/vase/vase_cluttered_scene_00.png,ordinary_real_control,ordinary_cluttered_scene,cluttered_scene,class,a photo of a vase,coco2017_val,COCO 2017 val image 000000213224; license id 4; multiple flower vases on table; raw image cached locally and not committed
vase,vase,vase_background_heavy_00,data/cache/off_prior_measurement_v0/ordinary_real_controls/stage15a/vase/vase_background_heavy_00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/ordinary_real_control/vase/vase_background_heavy_00.png,ordinary_real_control,ordinary_background_heavy,background_heavy,class,a photo of a vase,coco2017_val,COCO 2017 val image 000000370042; license id 3; many vases outdoors; raw image cached locally and not committed
dog,dog,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog/00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/dog/00.png,dreambooth_reference,standard_reference,none,class,a photo of a dog,dreambooth_reference,generated or local project artifact
dog,dog,01,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog/01.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/dog/01.png,dreambooth_reference,standard_reference,none,class,a photo of a dog,dreambooth_reference,generated or local project artifact
dog,dog,02,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog/02.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/dog/02.png,dreambooth_reference,standard_reference,none,class,a photo of a dog,dreambooth_reference,generated or local project artifact
dog,dog,03,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog/03.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/dog/03.png,dreambooth_reference,standard_reference,none,class,a photo of a dog,dreambooth_reference,generated or local project artifact
dog,dog,04,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog/04.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/dog/04.png,dreambooth_reference,standard_reference,none,class,a photo of a dog,dreambooth_reference,generated or local project artifact
cat,cat,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/cat/00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/cat/00.png,dreambooth_reference,standard_reference,none,class,a photo of a cat,dreambooth_reference,generated or local project artifact
cat,cat,01,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/cat/01.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/cat/01.png,dreambooth_reference,standard_reference,none,class,a photo of a cat,dreambooth_reference,generated or local project artifact
cat,cat,02,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/cat/02.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/cat/02.png,dreambooth_reference,standard_reference,none,class,a photo of a cat,dreambooth_reference,generated or local project artifact
cat,cat,03,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/cat/03.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/cat/03.png,dreambooth_reference,standard_reference,none,class,a photo of a cat,dreambooth_reference,generated or local project artifact
cat,cat,04,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/cat/04.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/cat/04.png,dreambooth_reference,standard_reference,none,class,a photo of a cat,dreambooth_reference,generated or local project artifact
backpack,backpack,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/backpack/00.png,dreambooth_reference,standard_reference,none,class,a photo of a backpack,dreambooth_reference,generated or local project artifact
backpack,backpack,01,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/01.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/backpack/01.png,dreambooth_reference,standard_reference,none,class,a photo of a backpack,dreambooth_reference,generated or local project artifact
backpack,backpack,02,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/02.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/backpack/02.png,dreambooth_reference,standard_reference,none,class,a photo of a backpack,dreambooth_reference,generated or local project artifact
backpack,backpack,03,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/03.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/backpack/03.png,dreambooth_reference,standard_reference,none,class,a photo of a backpack,dreambooth_reference,generated or local project artifact
backpack,backpack,04,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/04.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/backpack/04.png,dreambooth_reference,standard_reference,none,class,a photo of a backpack,dreambooth_reference,generated or local project artifact
backpack,backpack,05,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/05.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/backpack/05.png,dreambooth_reference,standard_reference,none,class,a photo of a backpack,dreambooth_reference,generated or local project artifact
vase,vase,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/00.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/vase/00.png,dreambooth_reference,standard_reference,none,class,a photo of a vase,dreambooth_reference,generated or local project artifact
vase,vase,01,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/01.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/vase/01.png,dreambooth_reference,standard_reference,none,class,a photo of a vase,dreambooth_reference,generated or local project artifact
vase,vase,02,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/02.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/vase/02.png,dreambooth_reference,standard_reference,none,class,a photo of a vase,dreambooth_reference,generated or local project artifact
vase,vase,03,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/03.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/vase/03.png,dreambooth_reference,standard_reference,none,class,a photo of a vase,dreambooth_reference,generated or local project artifact
vase,vase,04,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/04.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/vase/04.png,dreambooth_reference,standard_reference,none,class,a photo of a vase,dreambooth_reference,generated or local project artifact
vase,vase,05,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/05.jpg,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/dreambooth_reference/vase/05.png,dreambooth_reference,standard_reference,none,class,a photo of a vase,dreambooth_reference,generated or local project artifact
